Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPperG,PTSperG,RBperG,ASTperG,WS,WS/48,BPM,VORP,Year
3,PHW,Paul Arizin,Villanova,10,713,24897.0,16266,6129,1665,.421,,.810,38.4,22.8,8.6,2.3,108.8,.183,,,1950
1,BOS,Chuck Share,Bowling Green,9,596,13023.0,4928,4986,809,.400,,.693,21.9,8.3,8.4,1.4,42.0,.155,,,1950
2,BLB,Don Rehfeldt,Wisconsin,2,98,788.0,692,494,118,.370,,.758,20.2,7.1,5.0,1.2,3.5,.048,,,1950
4,TRI,Bob Cousy,Holy Cross,14,924,30165.0,16960,4786,6955,.375,,.803,35.3,18.4,5.2,7.5,91.1,.139,,,1950
5,WSC,Dick Schnittker,Ohio State,6,364,6744.0,3030,1372,479,.379,,.825,20.1,8.3,3.8,1.3,22.0,.132,,,1950
6,CHS,Larry Foust,La Salle,12,817,21890.0,11198,8041,1368,.405,,.741,29.2,13.7,9.8,1.7,79.2,.164,,,1950
7,NYK,Irwin Dambrot,City College of New York,,,0.0,,,,,,,,,,,,,,,1950
8,FTW,George Yardley,Stanford,7,472,15767.0,9063,4220,815,.422,,.780,33.4,19.2,8.9,1.7,58.5,.178,,,1950
9,INO,Bob Lavoy,Western Kentucky,4,264,5433.0,2156,1634,391,.384,,.707,27.0,8.2,6.2,1.5,15.9,.132,,,1950
10,ROC,Joe McNamee,San Francisco,2,118,695.0,289,238,58,.298,,.620,12.0,2.4,2.0,0.5,-1.3,-.055,,,1950
11,MNL,Kevin O'Shea,Notre Dame,3,174,2368.0,911,402,358,.337,,.680,21.3,5.2,2.3,2.1,3.8,.034,,,1950
12,SYR,Don Lofgran,San Francisco,4,209,3422.0,1265,817,216,.329,,.692,23.1,6.1,3.9,1.0,3.0,.044,,,1950
13,BOS,Chuck Cooper,Duquesne,6,409,7964.0,2725,2431,734,.339,,.743,23.2,6.7,5.9,1.8,11.6,.050,,,1950
14,BLB,John Pilch,Wyoming,1,9,41.0,5,9,2,.100,,.500,4.6,0.6,1.0,0.2,-0.1,-.118,,,1950
15,PHW,Ed Dahler,Duquesne,1,14,112.0,35,22,5,.368,,1.000,8.0,2.5,1.6,0.4,0.1,.036,,,1950
16,TRI,Ed Gayda,Washington State,1,15,0.0,56,39,13,.413,,.750,,3.7,2.6,0.9,0.6,,,,1950
17,WSC,Bill Sharman,USC,11,711,21793.0,12665,2793,2101,.426,,.883,32.0,17.8,3.9,3.0,82.8,.178,,,1950
18,CHS,Wally Osterkorn,Illinois,4,204,5187.0,1436,1218,346,.334,,.592,25.4,7.0,6.0,1.7,8.9,.082,,,1950
19,NYK,Herb Scherer,Long Island University,2,32,167.0,115,76,23,.289,,.592,13.9,3.6,2.4,0.7,-0.4,-.092,,,1950
20,FTW,Jim Riffey,Tulane,1,35,0.0,150,61,16,.351,,.769,,4.3,1.7,0.5,0.2,,,,1950
21,INO,Paul Unruh,Bradley,,,0.0,,,,,,,,,,,,,,,1950
22,ROC,George Stanich,UCLA,,,0.0,,,,,,,,,,,,,,,1950
23,MNL,Hal Haskins,Hamline University,,,0.0,,,,,,,,,,,,,,,1950
24,SYR,Gerry Calabrese,St. John's,2,104,937.0,492,149,148,.348,,.702,16.2,4.7,1.4,1.4,1.9,.046,,,1950
25,BOS,Bob Donham,Ohio State,4,273,4866.0,1818,1071,706,.480,,.507,23.7,6.7,3.9,2.6,18.0,.132,,,1950
26,BLB,Dick Dickey,NC State,1,45,440.0,127,81,50,.294,,.681,9.8,2.8,1.8,1.1,0.3,.028,,,1950
27,PHW,Buddy Cate,Western Kentucky,,,0.0,,,,,,,,,,,,,,,1950
28,TRI,Clarence Brannum,Kansas State,,,0.0,,,,,,,,,,,,,,,1950
29,WSC,Alan Sawyer,UCLA,1,33,0.0,217,121,25,.370,,.860,,6.6,3.7,0.8,0.9,,,,1950
30,CHS,Lou Watson,Indiana,,,0.0,,,,,,,,,,,,,,,1950
31,NYK,Stan Weber,Bowling Green,,,0.0,,,,,,,,,,,,,,,1950
32,FTW,Art Burris,Tennessee,2,74,514.0,187,205,54,.260,,.627,12.5,2.5,2.8,0.7,-1.0,-.073,,,1950
33,INO,Chuck Mrazovich,Eastern Kentucky University,1,25,0.0,85,40,13,.350,,.604,,3.4,1.6,0.5,0.4,,,,1950
34,ROC,Bob Roper,John Carroll University,,,0.0,,,,,,,,,,,,,,,1950
35,MNL,Howie Williams,Purdue,,,0.0,,,,,,,,,,,,,,,1950
36,SYR,Stan Christie,USC,,,0.0,,,,,,,,,,,,,,,1950
37,BOS,Ken Reeves,Louisville,,,0.0,,,,,,,,,,,,,,,1950
38,BLB,Jerry Reed,Wyoming,,,0.0,,,,,,,,,,,,,,,1950
39,PHW,Paul Senesky,Saint Joseph's,,,0.0,,,,,,,,,,,,,,,1950
40,TRI,Paul Hicks,Eastern Kentucky University,,,0.0,,,,,,,,,,,,,,,1950
41,WSC,Tommy O'Keefe,Georgetown,1,6,0.0,23,7,10,.357,,.750,,3.8,1.2,1.7,0.1,,,,1950
42,CHS,Ken Murray,St. Bonaventure,3,181,2118.0,1471,599,482,.335,,.747,18.4,8.1,3.3,2.7,3.6,.000,,,1950
43,NYK,Joe Ossola,Saint Louis,,,0.0,,,,,,,,,,,,,,,1950
44,FTW,Lenny Rzeszewski,Indiana State University,,,0.0,,,,,,,,,,,,,,,1950
45,INO,Jim Line,Kentucky,,,0.0,,,,,,,,,,,,,,,1950
46,ROC,Chet Giermak,William & Mary,,,0.0,,,,,,,,,,,,,,,1950
47,MNL,Bud Grant,Minnesota,2,96,0.0,249,115,90,.318,,.590,,2.6,1.9,0.9,1.1,,,,1950
48,SYR,Paul Merchant,Oklahoma,,,0.0,,,,,,,,,,,,,,,1950
49,BOS,Jack Shelton,Oklahoma State,,,0.0,,,,,,,,,,,,,,,1950
50,BLB,Norm Mager,City College of New York,1,24,0.0,124,47,23,.282,,.786,,5.2,2.0,1.0,0.0,,,,1950
51,PHW,Ike Borsavage,Temple,1,24,0.0,64,24,4,.351,,.667,,2.7,1.0,0.2,0.1,,,,1950
52,TRI,Cal Christensen,Toledo,5,291,4009.0,1507,1587,460,.330,,.606,17.9,5.2,5.5,1.6,8.2,.060,,,1950
53,WSC,Claude Overton,East Central University,1,15,182.0,58,25,15,.253,,.667,12.1,3.9,1.7,1.0,-0.4,-.115,,,1950
54,CHS,Don Stroot,Missouri,,,0.0,,,,,,,,,,,,,,,1950
55,NYK,Dick Barnes,San Diego State,,,0.0,,,,,,,,,,,,,,,1950
56,FTW,Leroy Thompson,Kent State University,,,0.0,,,,,,,,,,,,,,,1950
57,INO,Sonny Allen,Morehead State University,,,0.0,,,,,,,,,,,,,,,1950
58,ROC,Joe Nelson,BYU,,,0.0,,,,,,,,,,,,,,,1950
59,MNL,Ed Beach,West Virginia,1,12,0.0,22,25,3,.211,,.667,,1.8,2.1,0.3,-0.3,,,,1950
60,SYR,Paul Hickey,Denver,,,0.0,,,,,,,,,,,,,,,1950
61,BOS,Mo Mahoney,Brown University,2,8,45.0,12,9,2,.333,,.800,5.6,1.5,1.1,0.3,0.0,.034,,,1950
62,BLB,Rick Harman,Kansas State,,,0.0,,,,,,,,,,,,,,,1950
63,PHW,Dick Dallmer,Cincinnati,,,0.0,,,,,,,,,,,,,,,1950
64,TRI,Bob Anderson,Loyola (MD),,,0.0,,,,,,,,,,,,,,,1950
65,WSC,Warren Cartier,NC State,,,0.0,,,,,,,,,,,,,,,1950
66,CHS,Stu Inman,San Jose State,,,0.0,,,,,,,,,,,,,,,1950
67,NYK,Don Parsons,Rutgers University,,,0.0,,,,,,,,,,,,,,,1950
68,FTW,Bob Metcalf,Valparaiso,,,0.0,,,,,,,,,,,,,,,1950
69,INO,Ralph O'Brien,Butler,2,119,2335.0,848,192,180,.360,,.830,19.6,7.1,1.6,1.5,3.1,.064,,,1950
70,ROC,John Givens,Western Kentucky,,,0.0,,,,,,,,,,,,,,,1950
71,MNL,Wayne Glasgow,Oklahoma,,,0.0,,,,,,,,,,,,,,,1950
72,SYR,Mack Suprunowicz,Michigan,,,0.0,,,,,,,,,,,,,,,1950
73,BOS,Dale Barnstable,Kentucky,,,0.0,,,,,,,,,,,,,,,1950
74,BLB,E. Francis Comerford,La Salle,,,0.0,,,,,,,,,,,,,,,1950
75,PHW,Charles Northup,Siena College,,,0.0,,,,,,,,,,,,,,,1950
76,TRI,Bill Erickson,Illinois,,,0.0,,,,,,,,,,,,,,,1950
77,WSC,Jim Cathcart,Arkansas,,,0.0,,,,,,,,,,,,,,,1950
78,CHS,Milt Whitehead,Nebraska,,,0.0,,,,,,,,,,,,,,,1950
79,NYK,Dan Bagley,Notre Dame,,,0.0,,,,,,,,,,,,,,,1950
80,FTW,Hugh Jones,Tennessee,,,0.0,,,,,,,,,,,,,,,1950
81,INO,Leon Blevins,Arizona,1,2,0.0,2,2,1,.250,,.000,,1.0,1.0,0.5,0.0,,,,1950
82,ROC,Dan Kahler,Southwestern College,,,0.0,,,,,,,,,,,,,,,1950
83,MNL,Joe Hutton,Hamline University,2,120,723.0,302,187,115,.331,,.690,12.1,2.5,1.6,1.0,2.2,.102,,,1950
84,SYR,Lou Arko,University of Akron,,,0.0,,,,,,,,,,,,,,,1950
85,BOS,Frank Oftring,Holy Cross,,,0.0,,,,,,,,,,,,,,,1950
86,BLB,George Bush,Toledo,,,0.0,,,,,,,,,,,,,,,1950
87,PHW,Brooks Ricca,Villanova,,,0.0,,,,,,,,,,,,,,,1950
88,TRI,Loy Doty,Wyoming,,,0.0,,,,,,,,,,,,,,,1950
89,WSC,Joe Greenbach,Santa Clara,,,0.0,,,,,,,,,,,,,,,1950
90,CHS,George King,University of Charleston,6,411,13408.0,4219,1606,1958,.382,,.642,32.6,10.3,3.9,4.8,31.4,.113,,,1950
91,NYK,Charles Hope,Appalachian State University,,,0.0,,,,,,,,,,,,,,,1950
92,FTW,Billy Joe Adcock,Vanderbilt,,,0.0,,,,,,,,,,,,,,,1950
93,INO,Jerry Stuteville,Indiana,,,0.0,,,,,,,,,,,,,,,1950
94,ROC,Carl Kraushaar,UCLA,,,0.0,,,,,,,,,,,,,,,1950
95,MNL,Newt Benson,Wisconsin-River Falls,,,0.0,,,,,,,,,,,,,,,1950
96,SYR,Bob Healey,Georgia,,,0.0,,,,,,,,,,,,,,,1950
97,BOS,Bob Cope,Montana,,,0.0,,,,,,,,,,,,,,,1950
98,BLB,Jack Laub,Cincinnati,,,0.0,,,,,,,,,,,,,,,1950
99,PHW,Joel Kaufman,NYU,,,0.0,,,,,,,,,,,,,,,1950
100,TRI,Nate DeLong,Wisconsin-River Falls,1,17,132.0,64,31,14,.476,,.686,7.8,3.8,1.8,0.8,0.8,.309,,,1950
101,WSC,Earl Lloyd,West Virginia State University,9,560,14477.0,4682,3609,810,.356,,.750,26.2,8.4,6.4,1.4,19.1,.062,,,1950
102,CHS,John Brown,Georgetown,,,0.0,,,,,,,,,,,,,,,1950
103,NYK,Don Heathington,Baylor,,,0.0,,,,,,,,,,,,,,,1950
104,FTW,Al Henningsen,Northwest Missouri State University,,,0.0,,,,,,,,,,,,,,,1950
105,INO,Gene Schmidt,TCU,,,0.0,,,,,,,,,,,,,,,1950
106,ROC,Warren Switzer,Rice University,,,0.0,,,,,,,,,,,,,,,1950
107,MNL,Jim Reilly,Swarthmore College,,,0.0,,,,,,,,,,,,,,,1950
108,SYR,Bob Savage,Syracuse,,,0.0,,,,,,,,,,,,,,,1950
109,BOS,Matty Forman,Holy Cross,,,0.0,,,,,,,,,,,,,,,1950
110,BLB,Mike Zedalis,Loyola (MD),,,0.0,,,,,,,,,,,,,,,1950
111,PHW,Bernie Adams,Princeton,,,0.0,,,,,,,,,,,,,,,1950
112,TRI,Keith Bloom,Wyoming,,,0.0,,,,,,,,,,,,,,,1950
113,WSC,Joe Noertker,Virginia,,,0.0,,,,,,,,,,,,,,,1950
114,CHS,Bud Schaeffer,Wheaton College,,,0.0,,,,,,,,,,,,,,,1950
115,INO,Colin Anderson,Georgia Tech,,,0.0,,,,,,,,,,,,,,,1950
116,ROC,Harry Foley,Niagara University,,,0.0,,,,,,,,,,,,,,,1950
117,MNL,Andy Butchko,Purdue,,,0.0,,,,,,,,,,,,,,,1950
118,SYR,Glenn Wilkes,Mercer University,,,0.0,,,,,,,,,,,,,,,1950
119,PHW,Leo Wolf,Villanova,,,0.0,,,,,,,,,,,,,,,1950
120,INO,Jimmy Doyle,Butler,,,0.0,,,,,,,,,,,,,,,1950
121,PHW,Ed Montgomery,Tennessee,,,0.0,,,,,,,,,,,,,,,1950
10,MNL,Whitey Skoog,Minnesota,6,341,9193.0,2800,1133,903,.388,,.799,27.0,8.2,3.3,2.6,14.3,.075,,,1951
1,BLB,Gene Melchiorre,Bradley,,,0.0,,,,,,,,,,,,,,,1951
2,TRI,Mel Hutchins,BYU,7,437,16574.0,4851,4186,1298,.389,,.673,37.9,11.1,9.6,3.0,27.9,.081,,,1951
3,INO,Marcus Freiberger,Oklahoma,,,0.0,,,,,,,,,,,,,,,1951
4,FTW,Zeke Sinicola,Niagara University,2,12,48.0,13,2,3,.250,,.375,4.0,1.1,0.2,0.3,-0.2,-.223,,,1951
5,SYR,John McConathy,Northwestern State University,1,11,106.0,14,20,8,.138,,.429,9.6,1.3,1.8,0.7,-0.5,-.214,,,1951
6,NYK,Ed Smith,Harvard University,1,12,127.0,35,32,10,.286,,.538,10.6,2.9,2.7,0.8,-0.3,-.105,,,1951
7,BOS,Ernie Barrett,Kansas State,2,131,2092.0,641,343,229,.369,,.748,16.0,4.9,2.6,1.7,0.8,.017,,,1951
8,ROC,Sam Ranzino,NC State,1,39,234.0,86,39,25,.333,,.703,6.0,2.2,1.0,0.6,0.2,.038,,,1951
9,PHW,Don Sunderlage,Illinois,2,113,2636.0,874,281,224,.326,,.732,23.3,7.7,2.5,2.0,2.7,.049,,,1951
11,BLB,Jack Stone,Kansas State,,,0.0,,,,,,,,,,,,,,,1951
12,TRI,Bill Gossett,Colorado State,,,0.0,,,,,,,,,,,,,,,1951
13,INO,Scotty Steagall,Millikin University,,,0.0,,,,,,,,,,,,,,,1951
14,FTW,Jack Kiley,Syracuse,2,53,504.0,124,51,65,.227,,.571,9.5,2.3,1.0,1.2,-1.8,-.175,,,1951
15,SYR,Don Savage,LeMoyne College,2,17,173.0,54,31,14,.242,,.686,10.2,3.2,1.8,0.8,-0.1,-.029,,,1951
16,NYK,Roland Minson,BYU,,,0.0,,,,,,,,,,,,,,,1951
17,BOS,Bill Garrett,Indiana,,,0.0,,,,,,,,,,,,,,,1951
18,ROC,Ray Ragelis,Northwestern,1,51,337.0,68,76,31,.260,,.621,6.6,1.3,1.5,0.6,-0.4,-.059,,,1951
19,PHW,Mel Payton,Tulane,2,111,1895.0,595,396,126,.363,,.746,17.1,5.4,3.6,1.1,2.5,.062,,,1951
20,MNL,Lew Hitch,Kansas State,6,414,8364.0,2075,2183,499,.376,,.674,20.2,5.0,5.3,1.2,15.1,.087,,,1951
21,BLB,Bill Mann,Bradley,,,0.0,,,,,,,,,,,,,,,1951
22,TRI,Ron Bontemps,Beloit College,,,0.0,,,,,,,,,,,,,,,1951
23,INO,Glenn Kammeyer,Central Missouri State University,,,0.0,,,,,,,,,,,,,,,1951
24,FTW,Jake Fendley,Northwestern,2,103,1031.0,287,126,94,.344,,.742,10.0,2.8,1.2,0.9,2.1,.097,,,1951
25,SYR,Bato Govedarica,DePaul,1,23,258.0,75,18,24,.316,,.676,11.2,3.3,0.8,1.0,0.2,.044,,,1951
26,NYK,Joe Luchi,Cincinnati,,,0.0,,,,,,,,,,,,,,,1951
27,BOS,John Furlong,Pepperdine,,,0.0,,,,,,,,,,,,,,,1951
28,ROC,Fred Diute,St. Bonaventure,1,7,72.0,11,13,4,.095,,.583,10.3,1.6,1.9,0.6,-0.3,-.204,,,1951
29,PHW,Bob Schloss,Georgia,,,0.0,,,,,,,,,,,,,,,1951
30,MNL,Bob Payne,Oregon State,,,0.0,,,,,,,,,,,,,,,1951
31,BLB,Bill Hagler,California,,,0.0,,,,,,,,,,,,,,,1951
32,TRI,Jim Slaughter,South Carolina,1,28,525.0,147,148,25,.321,,.603,18.8,5.3,5.3,0.9,-0.1,-.010,,,1951
33,INO,Bill Tosheff,Indiana,3,203,6339.0,1859,608,661,.315,,.793,31.2,9.2,3.0,3.3,5.2,.039,,,1951
34,FTW,Herb Hargett,Mississippi State,,,0.0,,,,,,,,,,,,,,,1951
35,SYR,Paul Horvath,NC State,,,0.0,,,,,,,,,,,,,,,1951
36,NYK,Lloyd Sandstrom,University of St. Thomas,,,0.0,,,,,,,,,,,,,,,1951
37,BOS,Bob Barnett,University of Evansville,,,0.0,,,,,,,,,,,,,,,1951
38,ROC,Elmer Behnke,Bradley,1,4,55.0,16,17,4,.273,,.571,13.8,4.0,4.3,1.0,-0.1,-.098,,,1951
39,PHW,Jud Milhon,Ohio Wesleyan University,,,0.0,,,,,,,,,,,,,,,1951
40,MNL,Gale McArthur,Oklahoma State,,,0.0,,,,,,,,,,,,,,,1951
41,BLB,Leroy Ishman,American University,,,0.0,,,,,,,,,,,,,,,1951
42,TRI,Bob Sakel,University of Evansville,,,0.0,,,,,,,,,,,,,,,1951
43,INO,Bob Pierce,Nebraska,,,0.0,,,,,,,,,,,,,,,1951
44,FTW,Leo Johnson,Arizona,,,0.0,,,,,,,,,,,,,,,1951
45,SYR,Glen Anderson,Colorado State,,,0.0,,,,,,,,,,,,,,,1951
46,NYK,Tom Smith,Saint Peter's College,,,0.0,,,,,,,,,,,,,,,1951
47,BOS,Rip Gish,Western Kentucky,,,0.0,,,,,,,,,,,,,,,1951
48,ROC,Dan Bagley,Notre Dame,,,0.0,,,,,,,,,,,,,,,1951
49,PHW,Mike Kearns,Princeton,1,6,25.0,1,3,5,.000,,.250,4.2,0.2,0.5,0.8,-0.1,-.223,,,1951
50,MNL,Leo VanderKuy,Michigan,,,0.0,,,,,,,,,,,,,,,1951
51,BLB,Glen Duggins,Utah,,,0.0,,,,,,,,,,,,,,,1951
52,TRI,John Rennicke,Drake University,1,6,54.0,11,9,1,.222,,.333,9.0,1.8,1.5,0.2,-0.2,-.218,,,1951
53,INO,Marv Johnson,Wheaton College,,,0.0,,,,,,,,,,,,,,,1951
54,FTW,Frank Calsbeek,Iowa,,,0.0,,,,,,,,,,,,,,,1951
55,SYR,Bob Wheeler,Idaho,,,0.0,,,,,,,,,,,,,,,1951
56,NYK,Al McGuire,St. John's,4,191,2966.0,757,418,363,.379,,.551,15.5,4.0,2.2,1.9,5.5,.088,,,1951
57,BOS,Jim Luisi,St. Francis College,1,31,367.0,89,25,35,.326,,.659,11.8,2.9,0.8,1.1,0.0,.002,,,1951
58,ROC,Jim Ove,Valparaiso,,,0.0,,,,,,,,,,,,,,,1951
59,PHW,Dwight,University of Indianapolis,,,0.0,,,,,,,,,,,,,,,1951
60,MNL,Deward Dopson,Arkansas Tech University,,,0.0,,,,,,,,,,,,,,,1951
61,BLB,Tom Riach,USC,,,0.0,,,,,,,,,,,,,,,1951
62,TRI,Bob Ambler,Arkansas,,,0.0,,,,,,,,,,,,,,,1951
63,INO,Ted Beach,Illinois,,,0.0,,,,,,,,,,,,,,,1951
64,FTW,Jim Ramstead,Stanford,,,0.0,,,,,,,,,,,,,,,1951
65,SYR,Roy Reardon,St. Francis College,,,0.0,,,,,,,,,,,,,,,1951
66,NYK,Sid Ryen,Denver,,,0.0,,,,,,,,,,,,,,,1951
67,BOS,John Azary,Columbia University,,,0.0,,,,,,,,,,,,,,,1951
68,ROC,Jack Brown,SMU,,,0.0,,,,,,,,,,,,,,,1951
69,PHW,George Dempsey,King's College,5,315,5720.0,1574,1125,711,.407,,.661,18.2,5.0,3.6,2.3,10.8,.090,,,1951
70,MNL,Ed Head,Kansas State,,,0.0,,,,,,,,,,,,,,,1951
71,BLB,Bill Harper,Oregon State,,,0.0,,,,,,,,,,,,,,,1951
72,TRI,Aaron Preece,Bradley,,,0.0,,,,,,,,,,,,,,,1951
73,INO,George Kelley,Vanderbilt,,,0.0,,,,,,,,,,,,,,,1951
74,FTW,John Manning,Duquesne,,,0.0,,,,,,,,,,,,,,,1951
75,SYR,Tom Jockle,Syracuse,,,0.0,,,,,,,,,,,,,,,1951
76,BOS,Hugo Kappler,NC State,,,0.0,,,,,,,,,,,,,,,1951
77,ROC,George Davidson,Lafayette College,,,0.0,,,,,,,,,,,,,,,1951
78,PHW,Jim Phelan,La Salle,1,4,33.0,3,5,2,.000,,.500,8.3,0.8,1.3,0.5,-0.1,-.187,,,1951
79,BLB,Bob Crowe,San Jose State,,,0.0,,,,,,,,,,,,,,,1951
80,TRI,Wayne Tucker,Colorado,,,0.0,,,,,,,,,,,,,,,1951
81,SYR,Ray Kirkwasser,Ithaca College,,,0.0,,,,,,,,,,,,,,,1951
82,PHW,Hugh Faulkner,Pepperdine,,,0.0,,,,,,,,,,,,,,,1951
83,BLB,Dan Torrey,Oregon State,,,0.0,,,,,,,,,,,,,,,1951
84,TRI,John DeWitt,Texas A&M,,,0.0,,,,,,,,,,,,,,,1951
85,PHW,Paul Gerwin,Cornell,,,0.0,,,,,,,,,,,,,,,1951
86,BLB,Clem Pavilonis,DePaul,,,0.0,,,,,,,,,,,,,,,1951
87,BLB,John Burke,Springfield College,,,0.0,,,,,,,,,,,,,,,1951
4,PHW,Bill Mlkvy,Temple,1,31,608.0,181,101,62,.305,,.646,19.6,5.8,3.3,2.0,-1.0,-.082,,,1952
1,MLH,Mark Workman,West Virginia,2,79,1181.0,386,230,44,.331,,.618,14.9,4.9,2.9,0.6,-1.2,-.049,,,1952
2,BLB,Jim Baechtold,Eastern Kentucky University,5,321,8256.0,3123,1009,685,.388,,.783,25.7,9.7,3.1,2.1,14.8,.086,,,1952
3,FTW,Dick Groat,Duke,1,26,663.0,309,86,69,.368,,.790,25.5,11.9,3.3,2.7,2.0,.148,,,1952
5,INO,Joe Dean,LSU,,,0.0,,,,,,,,,,,,,,,1952
6,NYK,Ralph Polson,Whitworth,1,49,810.0,191,211,24,.363,,.635,16.5,3.9,4.3,0.5,0.8,.047,,,1952
7,BOS,Bill Stauffer,Missouri,,,0.0,,,,,,,,,,,,,,,1952
8,SYR,Bob Lochmueller,Louisville,1,62,802.0,232,162,47,.322,,.607,12.9,3.7,2.6,0.8,0.5,.031,,,1952
9,ROC,Chuck Darling,Iowa,,,0.0,,,,,,,,,,,,,,,1952
10,MNL,Clyde Lovellette,Kansas,11,704,19075.0,11947,6663,1097,.443,,.757,27.1,17.0,9.5,1.6,70.6,.178,,,1952
,BLB,Chuck Grigsby,Dayton,1,7,45.0,16,11,7,.368,,.250,6.4,2.3,1.6,1.0,0.0,-.042,,,1952
,BOS,Jim Iverson,Kansas State,,,0.0,,,,,,,,,,,,,,,1952
,FTW,Monk Meineke,Dayton,5,343,6782.0,2338,1626,433,.367,,.756,19.8,6.8,4.7,1.3,14.9,.105,,,1952
,INO,Zeke Zawoluk,St. John's,3,179,3534.0,1210,732,217,.372,,.767,19.7,6.8,4.1,1.2,8.2,.111,,,1952
,MLH,Eddie Miller,Syracuse,2,142,3675.0,1452,1206,210,.374,,.692,25.9,10.2,8.5,1.5,5.1,.066,,,1952
,MNL,Jim Holstein,Cincinnati,4,225,3476.0,859,659,249,.323,,.647,15.4,3.8,2.9,1.1,2.4,.034,,,1952
,NYK,Bert Cook,Utah State University,1,37,424.0,118,72,33,.316,,.680,11.5,3.2,1.9,0.9,0.0,-.006,,,1952
,PHW,Walt Davis,Texas A&M,5,325,5344.0,1558,1397,231,.377,,.695,16.4,4.8,4.3,0.7,4.8,.043,,,1952
,ROC,Jack McMahon,St. John's,8,524,14228.0,4237,1390,1939,.337,,.637,27.2,8.1,2.7,3.7,6.2,.021,,,1952
,SYR,Jim Brasco,NYU,1,20,248.0,77,24,21,.266,,.794,12.4,3.9,1.2,1.1,-0.2,-.036,,,1952
,BLB,Jim Walsh,Stanford,1,10,72.0,20,15,8,.185,,.588,7.2,2.0,1.5,0.8,-0.2,-.106,,,1952
,BOS,J. C. Maze,Texas State University,,,0.0,,,,,,,,,,,,,,,1952
,FTW,Bill Carlson,Fordham,,,0.0,,,,,,,,,,,,,,,1952
,INO,Skippy Whitaker,Kentucky,1,3,15.0,2,1,1,.167,,,5.0,0.7,0.3,0.3,-0.1,-.283,,,1952
,MLH,Bobby Watson,Kentucky,1,63,702.0,175,87,79,.323,,.689,11.1,2.8,1.4,1.3,-0.1,-.007,,,1952
,MNL,Carl McNulty,Purdue,1,1,14.0,2,0,0,.167,,,14.0,2.0,0.0,0.0,-0.1,-.357,,,1952
,NYK,Dick Bunt,NYU,1,26,271.0,92,28,17,.276,,.708,10.4,3.5,1.1,0.7,-0.3,-.050,,,1952
,PHW,Moe Radovich,Wyoming,1,4,33.0,14,1,8,.385,,1.000,8.3,3.5,0.3,2.0,0.1,.153,,,1952
,ROC,Ronnie MacGilvray,St. John's,1,6,57.0,8,9,11,.167,,.571,9.5,1.3,1.5,1.8,-0.1,-.046,,,1952
,SYR,Ken McBride,University of Maryland Eastern Shore,1,12,249.0,117,31,14,.327,,.724,20.8,9.8,2.6,1.2,-0.4,-.084,,,1952
,BLB,Blaine Denning,Lawrence Technological University,1,1,9.0,5,4,0,.400,,1.000,9.0,5.0,4.0,0.0,0.0,.095,,,1952
,BOS,Herm Hedderick,Canisius,1,5,23.0,4,4,2,.222,,.000,4.6,0.8,0.8,0.4,-0.1,-.232,,,1952
,FTW,Hal Cerra,Duquesne,,,0.0,,,,,,,,,,,,,,,1952
,INO,Gene Rhodes,Western Kentucky,1,65,1162.0,337,98,91,.319,,.704,17.9,5.2,1.5,1.4,0.9,.037,,,1952
,MLH,George McLeod,TCU,1,10,85.0,12,21,4,.125,,.533,8.5,1.2,2.1,0.4,-0.2,-.115,,,1952
,MNL,Tom Ackerman,West Liberty State College,,,0.0,,,,,,,,,,,,,,,1952
,NYK,Roy Belliveau,Seton Hall,,,0.0,,,,,,,,,,,,,,,1952
,PHW,Bob Brown,Louisville,,,0.0,,,,,,,,,,,,,,,1952
,ROC,Bryant Ivey,Alabama,,,0.0,,,,,,,,,,,,,,,1952
,SYR,Bud Donnelly,La Salle,,,0.0,,,,,,,,,,,,,,,1952
,BLB,Frank Guisness,Washington,,,0.0,,,,,,,,,,,,,,,1952
,BOS,Don Johnson,Oklahoma State,,,0.0,,,,,,,,,,,,,,,1952
,FTW,Bob Clifton,Iowa,,,0.0,,,,,,,,,,,,,,,1952
,INO,Jay Handlan,Washington & Lee University,,,0.0,,,,,,,,,,,,,,,1952
,MLH,Pete Brewster,Purdue,,,0.0,,,,,,,,,,,,,,,1952
,MNL,Thomas Bishop,Southern Miss,,,0.0,,,,,,,,,,,,,,,1952
,NYK,Ben Gibson,Saint Mary's,,,0.0,,,,,,,,,,,,,,,1952
,PHW,Burr Carlson,UConn,,,0.0,,,,,,,,,,,,,,,1952
,ROC,Leroy Leslie,Notre Dame,,,0.0,,,,,,,,,,,,,,,1952
,SYR,Jim Kennedy,Duquesne,,,0.0,,,,,,,,,,,,,,,1952
,BLB,Bob Priddy,New Mexico State,1,16,149.0,36,36,7,.368,,.571,9.3,2.3,2.3,0.4,0.0,.006,,,1952
,BOS,Jim Buchanan,Nebraska,,,0.0,,,,,,,,,,,,,,,1952
,FTW,Leo Corkery,St. Bonaventure,,,0.0,,,,,,,,,,,,,,,1952
,INO,Bill Harrell,Siena College,,,0.0,,,,,,,,,,,,,,,1952
,MLH,Roger Johnson,Arizona,,,0.0,,,,,,,,,,,,,,,1952
,MNL,Rod Fletcher,Illinois,,,0.0,,,,,,,,,,,,,,,1952
